CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
2.7357172474638767,0.0,18.1,0.0,0.74,6.461,93.3,2.0026,3.2188758248682006,666.0,20.2,5.914610500247762,18.05,9.6
4.3112567387853336,0.0,18.1,0.0,0.679,5.957,100.0,1.8026,3.2188758248682006,666.0,20.2,5.943979780536238,20.62,8.8
0.1314842987568961,0.0,10.59,0.0,0.489,6.375,32.3,3.9454,1.6094379124341003,277.0,18.6,2.4923786646266994,9.38,28.1
0.05627635827662477,2.6026896854443837,6.07,0.0,0.409,5.878,21.4,6.498,1.6094379124341003,345.0,18.9,0.5247285289349808,8.1,22.0
0.10554849798804089,0.0,27.74,0.0,0.609,5.983,83.5,2.1099,1.6094379124341003,711.0,20.1,0.0,13.35,20.1
0.12006487472475483,3.4339872044851463,4.93,0.0,0.428,6.393,7.8,7.0355,1.9459101490553132,300.0,16.6,3.14372115126744,5.19,23.7
0.20058705560079915,0.0,10.01,0.0,0.547,6.092,95.4,2.548,1.9459101490553132,432.0,17.8,0.0,17.09,18.7
0.0411707337036766,3.367295829986474,15.04,0.0,0.464,6.442,53.6,3.6659,1.6094379124341003,270.0,18.2,1.061256502124336,8.16,22.9
0.050579039368154076,0.0,4.49,0.0,0.449,6.015,45.1,4.4272,1.3862943611198906,247.0,18.5,0.6471032420585219,12.86,22.5
0.05979604334596572,0.0,4.39,0.0,0.442,5.898,52.3,8.0136,1.3862943611198906,352.0,18.8,3.5052570515869323,12.67,17.2
0.042858319801900656,4.394449154672439,3.37,0.0,0.398,5.787,31.1,6.6115,1.6094379124341003,337.0,16.1,0.0,10.24,19.4
0.03101405352916946,4.564348191467836,1.47,0.0,0.403,6.975,15.3,7.6534,1.3862943611198906,402.0,17.0,0.0,4.56,34.9
0.47719024356009226,3.044522437723423,3.97,0.0,0.647,8.704,86.9,1.801,1.791759469228055,264.0,13.0,2.104134154270206,5.12,50.0
0.17551511208097656,0.0,7.38,0.0,0.493,6.431,14.7,5.4159,1.791759469228055,287.0,19.6,1.4398351280479134,5.08,24.6
0.058712206079331676,0.0,2.46,0.0,0.488,6.153,68.8,3.2797,1.3862943611198906,193.0,17.8,2.37861977927004,13.15,29.6
0.45637366182584765,3.044522437723423,3.97,0.0,0.575,8.297,67.0,2.4216,1.791759469228055,264.0,13.0,2.5922651681084963,7.44,50.0
0.07980883417341514,0.0,2.46,0.0,0.488,5.604,89.8,2.9879,1.3862943611198906,193.0,17.8,1.9315214116032104,13.98,26.4
0.2862835950379259,0.0,6.2,0.0,0.507,8.247,70.4,3.6519,2.1972245773362196,307.0,17.4,2.9418039315284346,3.95,48.3
2.1693085250418154,0.0,18.1,0.0,0.713,6.301,83.7,2.7831,3.2188758248682006,666.0,20.2,4.8338185579367465,16.23,14.9
1.1981257435340087,0.0,19.58,0.0,0.605,5.88,97.3,2.3887,1.791759469228055,403.0,14.7,3.9074123928704623,12.03,19.1
2.1792099506138976,0.0,18.1,0.0,0.655,6.209,65.4,2.9634,3.2188758248682006,666.0,20.2,0.0,13.22,21.4
0.10399057772120508,0.0,11.93,0.0,0.573,6.794,89.3,2.3889,0.6931471805599453,273.0,21.0,1.4929040961781463,6.48,22.0
2.1286946938918567,0.0,18.1,0.0,0.597,5.617,97.9,1.4547,3.2188758248682006,666.0,20.2,4.421968241766829,26.4,17.2
0.13129138568117568,3.1354942159291497,5.86,0.0,0.431,6.487,13.0,7.3967,2.0794415416798357,330.0,19.1,0.4824261492442955,5.9,24.4
0.07880193823740345,0.0,13.92,0.0,0.437,6.009,42.3,5.5027,1.6094379124341003,289.0,16.0,0.0,10.4,21.7
0.06025749561032605,3.713572066704308,1.25,0.0,0.429,6.49,44.4,8.7921,0.6931471805599453,335.0,19.7,0.0,5.98,22.9
0.2003906562548323,3.044522437723423,6.96,0.6931471805599453,0.464,7.691,51.8,4.3665,1.3862943611198906,223.0,18.6,1.964311234426204,6.58,35.2
2.5504056470206957,0.0,18.1,0.0,0.718,6.824,76.5,1.794,3.2188758248682006,666.0,20.2,5.856360489923138,22.74,8.4
0.7852431092803437,0.0,21.89,0.0,0.624,6.326,97.7,2.271,1.6094379124341003,437.0,21.2,0.0,12.26,19.6
2.0542737224466707,0.0,18.1,0.0,0.713,6.081,84.4,2.7175,3.2188758248682006,666.0,20.2,0.0,14.7,20.0
0.9238699369975489,0.0,19.58,0.6931471805599453,0.605,8.375,93.9,2.162,1.791759469228055,403.0,14.7,2.2460147415056504,3.32,50.0
0.44326173080273074,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,1.6094379124341003,437.0,21.2,1.1724821372345533,16.96,18.1
0.16836630025465413,0.0,27.74,0.0,0.609,5.414,98.3,1.7554,1.6094379124341003,711.0,20.1,3.986202403602397,23.97,7.0
1.7148550264902072,0.0,18.1,0.0,0.718,3.561,87.9,1.6132,3.2188758248682006,666.0,20.2,3.7658404952500644,7.12,27.5
0.0850118793258392,3.091042453358316,5.64,0.0,0.439,5.963,45.7,6.8147,1.6094379124341003,243.0,16.8,0.8501509293695994,13.45,19.7
0.032525271703396835,0.0,5.19,0.0,0.515,6.059,37.3,4.8122,1.791759469228055,224.0,20.2,0.5653138090500552,8.51,20.6
0.48843276471410274,0.0,8.14,0.0,0.538,5.949,61.8,4.7075,1.6094379124341003,307.0,21.0,0.0,8.26,20.4
2.394848818884537,0.0,18.1,0.0,0.74,6.485,100.0,1.9784,3.2188758248682006,666.0,20.2,2.4132316130811056,18.85,15.4
0.5597643483283525,0.0,8.14,0.0,0.538,5.924,94.1,4.3996,1.6094379124341003,307.0,21.0,1.2725655957915458,16.3,15.6
2.0435189836286223,0.0,18.1,0.0,0.713,6.749,92.6,2.3236,3.2188758248682006,666.0,20.2,5.985396171706375,17.44,13.4
0.11994957590111856,0.0,6.91,0.0,0.448,6.77,2.9,5.7209,1.3862943611198906,233.0,17.9,2.5249283241374827,4.84,26.6
1.2174525430495582,0.0,18.1,0.0,0.583,5.871,41.9,3.724,3.2188758248682006,666.0,20.2,3.302113423438255,13.34,20.6
2.085724263982504,0.0,18.1,0.0,0.614,6.103,85.1,2.0218,3.2188758248682006,666.0,20.2,5.979847327767791,23.29,13.4
0.19093435989217727,3.044522437723423,3.33,0.0,0.4429,6.812,32.2,4.1007,1.791759469228055,216.0,14.9,0.0,4.85,35.1
2.390279986333144,0.0,18.1,0.0,0.693,5.852,77.8,1.5004,3.2188758248682006,666.0,20.2,4.090001812787963,29.97,6.3
0.10818153284452815,0.0,13.89,0.6931471805599453,0.55,6.373,92.4,3.3633,1.791759469228055,276.0,16.4,1.4255150742731644,10.5,23.0
2.774050153828231,0.0,18.1,0.0,0.614,5.304,97.3,2.1007,3.2188758248682006,666.0,20.2,3.879912951509912,24.91,12.0
2.531941305700138,0.0,18.1,0.0,0.7,5.036,97.0,1.77,3.2188758248682006,666.0,20.2,0.0,25.68,9.7
0.025112036814854834,4.02535169073515,3.78,0.0,0.484,6.696,56.4,5.7321,1.791759469228055,370.0,17.6,0.0,7.18,23.9
0.1436240400828755,3.258096538021482,5.13,0.0,0.453,6.145,29.2,7.8148,2.1972245773362196,284.0,19.7,1.9768549529047308,6.86,23.3
0.059466304166666525,3.713572066704308,6.41,0.6931471805599453,0.447,6.826,27.6,4.8628,1.6094379124341003,254.0,17.6,1.4929040961781463,4.16,33.1
0.06451352082506596,0.0,4.05,0.0,0.51,6.546,33.1,3.1323,1.791759469228055,296.0,16.6,1.9373017745187129,5.33,29.4
0.8213029001101178,0.0,19.58,0.6931471805599453,0.605,6.25,92.6,1.7984,1.791759469228055,403.0,14.7,4.077198403387129,5.5,27.0
0.06682652665553059,3.828641396489095,3.44,0.0,0.437,6.739,30.8,6.4798,1.791759469228055,398.0,15.2,2.102913897864978,4.69,30.5
3.2598680448992714,0.0,18.1,0.0,0.693,5.987,100.0,1.5888,3.2188758248682006,666.0,20.2,0.0,26.77,5.6
1.5762616149393935,0.0,18.1,0.0,0.77,6.251,91.1,2.2955,3.2188758248682006,666.0,20.2,3.855452653939752,14.19,19.9
0.3140367177344588,3.1354942159291497,5.86,0.0,0.431,8.259,8.4,8.9067,2.0794415416798357,330.0,19.1,0.0,3.54,42.8
2.937398463323919,0.0,18.1,0.0,0.671,6.223,100.0,1.3861,3.2188758248682006,666.0,20.2,1.4255150742731644,21.78,10.2
2.5837862093461372,0.0,18.1,0.0,0.584,5.837,59.7,1.9976,3.2188758248682006,666.0,20.2,5.9222484364192995,15.69,10.2
0.09607352474606409,0.0,10.01,0.0,0.547,6.715,81.6,2.6775,1.9459101490553132,432.0,17.8,0.8372475245337031,10.16,22.8
1.546095475702301,0.0,18.1,0.0,0.713,6.376,88.4,2.5671,3.2188758248682006,666.0,20.2,1.8671761085128047,14.65,17.7
0.3889765831033406,0.0,9.9,0.0,0.544,6.113,58.8,4.0019,1.6094379124341003,304.0,18.4,0.5128236264286392,12.73,21.0
0.9148176474178114,0.0,19.58,0.0,0.871,5.404,100.0,1.5916,1.791759469228055,403.0,14.7,4.030694535145644,13.28,19.6
0.1794591306249127,3.1354942159291497,5.86,0.0,0.431,6.226,79.2,8.0555,2.0794415416798357,330.0,19.1,3.0800734219877413,10.15,20.5
0.036987452050280596,4.394449154672439,1.52,0.0,0.404,7.274,38.3,7.309,1.0986122886681098,329.0,12.6,1.7404661748405024,6.62,34.6
0.3060793008727377,0.0,6.2,0.6931471805599453,0.507,6.951,88.5,2.8617,2.1972245773362196,307.0,17.4,1.824549292051044,9.71,26.7
0.21440145025736632,0.0,9.69,0.0,0.585,6.019,65.3,2.4091,1.9459101490553132,391.0,19.2,0.0,12.92,21.2
0.08891706002171539,0.0,25.65,0.0,0.581,5.961,92.9,2.0869,1.0986122886681098,188.0,19.1,2.98618686071046,17.93,20.5
0.9604300978281596,0.0,8.14,0.0,0.538,6.096,96.9,3.7598,1.6094379124341003,307.0,21.0,5.007898218386369,20.34,13.5
3.3896577218278483,0.0,18.1,0.0,0.597,5.155,100.0,1.5894,3.2188758248682006,666.0,20.2,5.23073421522424,20.08,16.3
4.232958019253417,0.0,18.1,0.0,0.693,5.683,100.0,1.4254,3.2188758248682006,666.0,20.2,2.559550192783762,22.98,5.0
0.2850435947287374,0.0,21.89,0.0,0.624,5.822,95.4,2.4699,1.6094379124341003,437.0,21.2,2.2202898502672133,15.03,18.4
0.6319364495150488,0.0,21.89,0.0,0.624,5.637,94.7,1.9799,1.6094379124341003,437.0,21.2,0.0,18.34,14.3
